Grupo;Família;Espécie (FB_2020);Nome popular;Origem;Endemismo;Especie;Categoria;Critério;Data avaliação;Reavaliação?;Histórico de Avaliações;Endêmica do Brasil?;Ameaças cadastradas;Ações de conservação
Angiospermas;Asteraceae;Lessingianthus souzae (H.Rob.) H.Rob.;;NATIVA;Endemica;Lessingianthus souzae;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.7 Fire;1.2.1.2 National level|4.4 Protected areas
Angiospermas;Asteraceae;Lessingianthus stoechas (Mart. ex Baker) H.Rob.;;NATIVA;Endemica;Lessingianthus stoechas;VU;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Não;1 Habitat Loss/Degradation (human induced)|1.7 Fire|1.3.1 Mining;1.2.1.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Lessingianthus subcarduoides (H.Rob.) H.Rob.;;NATIVA;Endemica;Lessingianthus subcarduoides;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Não;1.4 Infrastructure development|10.5 Fire|1.4.3 Tourism/recreation|1.3.1 Mining|1.1.4 Livestock;1.2.1.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Lessingianthus venosissimus (Sch.Bip. ex Baker) H.Rob.;;NATIVA;Endemica;Lessingianthus venosissimus;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Não;1 Habitat Loss/Degradation (human induced)|1.4.2 Human settlement|1.5 Invasive alien species (directly impacting habitat);1.2.1.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Lessingianthus westermanii (Ekman & Dusén ex Malme) H.Rob.;;NATIVA;Endemica;Lessingianthus westermanii;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.1 Agriculture|1.5 Invasive alien species (directly impacting habitat);1.2.1.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Lessingianthus zuccarinianus (Mart. ex DC.) H.Rob.;;NATIVA;Endemica;Lessingianthus zuccarinianus;VU;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Não;1.1 Agriculture|1.5 Invasive alien species (directly impacting habitat);1.2.1.3 Sub-national level
Angiospermas;Asteraceae;Lomatozona artemisiifolia Baker;;NATIVA;Endemica;Lomatozona artemisiifolia;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.1 Agriculture|1.1.4 Livestock;1.2.1.2 National level
Angiospermas;Asteraceae;Lulia nervosa (Less.) Zardini;Cravo-do-campo,PORTUGUES,sudeste e sul/NA/Cravo-do-campo,PORTUGUES,sudeste e sul;NATIVA;Endemica;Lulia nervosa;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;;1.2.1.3 Sub-national level
Angiospermas;Asteraceae;Lychnocephalus humillimus (Sch.Bip.) Loeuille, Semir & Pirani;;NATIVA;Endemica;Lychnophora humillima;CR;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.3.1 Mining|1.1.4 Livestock|1.4 Infrastructure development|1.4.3 Tourism/recreation|1.7 Fire;1.2.1.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Lychnocephalus mellobarretoi (G.M. Barroso) Loeuille, Semir & Pirani;;NATIVA;Endemica;Lychnophora mello-barretoi;EN;B2ab(i,ii,iii);2019;Sim;Continuou em P443 na mesma categoria de ameaça (após reavaliação);Sim;3.2 Mining & quarrying|2.3 Livestock farming & ranching|8.1 Invasive non-native/alien species/diseases|1.3 Tourism & recreation areas;5 Law & policy|1 Land/water protection|5 Law & policy|5 Law & policy
Angiospermas;Asteraceae;Lychnocephalus sellovii (Sch.Bip.) Loeuille, Semir & Pirani;;NATIVA;Endemica;Lychnophora sellowii;EN;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.4.2 Human settlement|1.3.1 Mining|1.7 Fire|1.4.3 Tourism/recreation|1.1.1.1 Shifting Agriculture|1.3.3.1 Small-scale subsistence;1.2.1.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Lychnocephalus tomentosus Mart. ex DC.;;NATIVA;Endemica;Lychnophora tomentosa;VU;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.4.4 Transport - land/air|1.3.1 Mining|1.4 Infrastructure development|1.4.3 Tourism/recreation|1.1.4 Livestock|1.7 Fire;
Angiospermas;Asteraceae;Lychnophora albertinioides Gardner;;NATIVA;Endemica;Lychnophora albertinioides;CR;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.4.3 Tourism/recreation|1.3.1 Mining|1.4.2 Human settlement|1.1.4 Livestock|1.7 Fire;1.2.1.3 Sub-national level
