"";"Família";"Especie";"Nome na publicação original";"Diferença (em caracteres)";"Categoria";"Status Taxonômico"
"561";"Bromeliaceae";"Cryptanthus zonatus";"Cryptanthus burle-marxii";1;"rara";"Synonym"
"562";"Bromeliaceae";"Cryptanthus capitatus";"Cryptanthus capitatus";0;"rara";"Accepted"
"563";"Bromeliaceae";"Cryptanthus colnagoi";"Cryptanthus colnagoi";0;"rara";"Accepted"
"564";"Bromeliaceae";"Forzzaea leopoldo-horstii";"Cryptanthus leopoldo-horstii";0;"rara";"Synonym"
"565";"Lauraceae";"Cryptocarya sellowiana";"Cryptocarya sellowiana";0;"rara";"Accepted"
"566";"Lauraceae";"Cryptocarya wiedensis";"Cryptocarya wiedensis";0;"rara";"Accepted"
"567";"Lythraceae";"Cuphea adenophylla";"Cuphea adenophylla";0;"rara";"Accepted"
"568";"Lythraceae";"Cuphea alatosperma";"Cuphea alatosperma";0;"rara";"Accepted"
"569";"Lythraceae";"Cuphea anamariae";"Cuphea anamariae";0;"rara";"Accepted"
"570";"Lythraceae";"Cuphea bahiensis";"Cuphea bahiensis";0;"rara";"Accepted"
"571";"Lythraceae";"Cuphea cipoensis";"Cuphea cipoensis";0;"rara";"Accepted"
"572";"Lythraceae";"Cuphea cuiabensis";"Cuphea cuiabensis";0;"rara";"Accepted"
"573";"Lythraceae";"Cuphea cunninghamiifolia";"Cuphea cunninghamiifolia";0;"rara";"Accepted"
"574";"Lythraceae";"Cuphea cylindracea";"Cuphea cylindracea";0;"rara";"Accepted"
"575";"Lythraceae";"Cuphea disperma";"Cuphea disperma";0;"rara";"Accepted"
"576";"Lythraceae";"Cuphea egleri";"Cuphea egleri";0;"rara";"Accepted"
"577";"Lythraceae";"Cuphea exilis";"Cuphea exilis";0;"rara";"Accepted"
"578";"Lythraceae";"Cuphea fuchsiifolia";"Cuphea fuchsiifolia";0;"rara";"Accepted"
"579";"Lythraceae";"Cuphea glareosa";"Cuphea glareosa";0;"rara";"Accepted"
"580";"Lythraceae";"Cuphea glaziovii";"Cuphea glaziovii";0;"rara";"Accepted"
"581";"Lythraceae";"Cuphea hybogyna";"Cuphea hybogyna";0;"rara";"Accepted"
"582";"Lythraceae";"Cuphea loefgrenii";"Cuphea loefgrenii";0;"rara";"Accepted"
"583";"Lythraceae";"Cuphea lucens";"Cuphea lucens";0;"rara";"Accepted"
"584";"Lythraceae";"Cuphea potamophila";"Cuphea potamophila";0;"rara";"Accepted"
"585";"Lythraceae";"Cuphea rubrovirens";"Cuphea rubro-virens";1;"rara";"Accepted"
"586";"Lythraceae";"Cuphea sabulosa";"Cuphea sabulosa";0;"rara";"Accepted"
"587";"Lythraceae";"Gyrosphragma santos-limae";"Cuphea santos-limae";0;"rara";"Synonym"
"588";"Lythraceae";"Cuphea sclerophylla";"Cuphea sclerophylla";0;"rara";"Accepted"
"589";"Lythraceae";"Cuphea sincorana";"Cuphea sincorana";0;"rara";"Accepted"
"590";"Lythraceae";"Cuphea teleandra";"Cuphea teleandra";0;"rara";"Accepted"
"591";"Lythraceae";"Cuphea xanthopetala";"Cuphea xanthopetala";0;"rara";"Accepted"
"592";"Convolvulaceae";"Cuscuta globosa";"Cuscuta globosa";0;"rara";"Accepted"
"593";"Apocynaceae";"Monsanima morrenioides";"Cynanchum morrenioides";0;"rara";"Synonym"
"594";"Cyperaceae";"Cyperus almensis";"Cyperus almensis";0;"rara";"Accepted"
"595";"Cyperaceae";"Cyperus brumadoi";"Cyperus brumadoi";0;"rara";"Accepted"
"596";"Burseraceae";"Dacryodes edilsonii";"Dacryodes edilsonii";0;"rara";"Accepted"
"597";"Euphorbiaceae";"Dalechampia olympiana";"Dalechampia olympiana";0;"rara";"Accepted"
"598";"Asteraceae";"Dasyphyllum lanceolatum";"Dasyphyllum lanceolatum";0;"rara";"Accepted"
"599";"Asteraceae";"Dasyphyllum reticulatum";"Dasyphyllum lanosum";0;"rara";"Synonym"
"600";"Asteraceae";"Dasyphyllum retinens";"Dasyphyllum retinens";0;"rara";"Accepted"
"601";"Asteraceae";"Dasyphyllum trichophyllum";"Dasyphyllum trychophyllum";1;"rara";"Accepted"
"602";"Dilleniaceae";"Davilla glaziovii";"Davilla glaziovii";0;"rara";"Accepted"
"603";"Dilleniaceae";"Davilla tintinnabulata";"Davilla sellowiana";0;"rara";"Synonym"
"604";"Dilleniaceae";"Davilla sessilifolia";"Davilla sessilifolia";0;"rara";"Accepted"
"605";"Gentianaceae";"Deianira damazioi";"Deianira damazioi";0;"rara";"Accepted"
"606";"Araliaceae";"Dendropanax caudatus";"Dendropanax caudatus";0;"rara";"Accepted"
"607";"Araliaceae";"Dendropanax denticulatus";"Dendropanax denticulatus";0;"rara";"Accepted"
"608";"Araliaceae";"Dendropanax geniculatus";"Dendropanax geniculatus";0;"rara";"Accepted"
"609";"Araliaceae";"Dendropanax trilobus";"Dendropanax trilobus";0;"rara";"Accepted"
"610";"Asteraceae";"Dendrophorbium restingae";"Dendrophorbium restingae";0;"rara";"Accepted"
"611";"Euphorbiaceae";"Dendrothrix wurdackii";"Dendrothrix wurdackii";0;"rara";"Accepted"
"612";"Fabaceae";"Desmodium glabrescens";"Desmodium glabrescens";0;"rara";"Accepted"
"613";"Fabaceae";"Desmodium juruenense";"Desmodium juruenense";0;"rara";"Accepted"
"614";"Poaceae";"Dichanthelium assurgens";"Dichanthelium assurgens";0;"rara";"Accepted"
"615";"Poaceae";"Dichanthelium congestum";"Dichanthelium congestum";0;"rara";"Accepted"
"616";"Poaceae";"Dichanthelium sendulskyae";"Dichanthelium sendulskyi";2;"rara";"Accepted"
"617";"Commelinaceae";"Dichorisandra fluminensis";"Dichorisandra fluminensis";0;"rara";"Accepted"
"618";"Commelinaceae";"Dichorisandra interrupta";"Dichorisandra interrupta";0;"rara";"Accepted"
"619";"Commelinaceae";"Dichorisandra albomarginata";"Dichorisandra macrophylla";0;"rara";"Synonym"
"620";"Commelinaceae";"Dichorisandra neglecta";"Dichorisandra neglecta";0;"rara";"Accepted"
"621";"Convolvulaceae";"Dicranostyles falconiana";"Dicranostyles falconiana";0;"rara";"Accepted"
"622";"Convolvulaceae";"Dicranostyles solimoesensis";"Dicranostyles solimoesensis";0;"rara";"Accepted"
"623";"Lauraceae";"Dicypellium manausense";"Dicypellium manausense";0;"rara";"Accepted"
"624";"Poaceae";"Digitaria chaseae";"Digitaria chaseae";0;"rara";"Accepted"
"625";"Poaceae";"Digitaria myriostachya";"Digitaria myriostachya";0;"rara";"Accepted"
"626";"Poaceae";"Digitaria pampinosa";"Digitaria pampinosa";0;"rara";"Accepted"
"627";"Asteraceae";"Dimerostemma bishopii";"Dimerostemma bishopii";0;"rara";"Accepted"
"628";"Asteraceae";"Dimerostemma grazielae";"Dimerostemma grazielae";0;"rara";"Accepted"
"629";"Fabaceae";"Macropsychanthus duckei";"Dioclea ferruginea";0;"rara";"Synonym"
"630";"Fabaceae";"Macropsychanthus flexuosus";"Dioclea flexuosa";0;"rara";"Synonym"
"631";"Fabaceae";"Macropsychanthus schottii";"Dioclea schottii";0;"rara";"Synonym"
"632";"Rubiaceae";"Diodia macrophylla";"Diodia macrophylla";0;"rara";"Accepted"
"633";"Ebenaceae";"Diospyros inconstans subsp. psidioides";"Diospyros acreana";0;"rara";"Synonym"
"634";"Ebenaceae";"Diospyros amabi";"Diospyros amabi";0;"rara";"Accepted"
"635";"Ebenaceae";"Diospyros arupaj";"Diospyros arupaj";0;"rara";"Accepted"
"636";"Ebenaceae";"Diospyros cachimboensis";"Diospyros cachimboensis";0;"rara";"Accepted"
"637";"Ebenaceae";"Diospyros martini";"Diospyros froesii";0;"rara";"Synonym"
"638";"Ebenaceae";"Diospyros juruensis";"Diospyros juruensis";0;"rara";"Accepted"
"639";"Ebenaceae";"Diospyros landii";"Diospyros landii";0;"rara";"Accepted"
"640";"Ebenaceae";"Diospyros manausensis";"Diospyros manausensis";0;"rara";"Accepted"
"641";"Ebenaceae";"Diospyros mexiae";"Diospyros mexiae";0;"rara";"Accepted"
"642";"Ebenaceae";"Diospyros scottmorii";"Diospyros scottmorii";0;"rara";"Accepted"
"643";"Ebenaceae";"Diospyros serrana";"Diospyros serrana";0;"rara";"Accepted"
"644";"Ebenaceae";"Diospyros tarim";"Diospyros tarim";0;"rara";"Accepted"
"645";"Ebenaceae";"Diospyros trombetensis";"Diospyros trombetensis";0;"rara";"Accepted"
"646";"Ebenaceae";"Diospyros uaupensis";"Diospyros uaupensis";0;"rara";"Accepted"
"647";"Ebenaceae";"Diospyros ubaita";"Diospyros ubaita";0;"rara";"Accepted"
"648";"Ebenaceae";"Diospyros poeppigiana";"Diospyros xavantina";0;"rara";"Synonym"
"649";"Malpighiaceae";"Diplopterys bahiana";"Diplopterys bahiana";0;"rara";"Accepted"
"650";"Malpighiaceae";"Diplopterys carvalhoi";"Diplopterys carvalhoi";0;"rara";"Accepted"
"651";"Fabaceae";"Diplotropis rodriguesii";"Diplotropis rodriguesii";0;"rara";"Accepted"
"652";"Lythraceae";"Diplusodon adpressipilus";"Diplusodon adpressipilus";0;"rara";"Accepted"
"653";"Lythraceae";"Diplusodon aggregatifolius";"Diplusodon aggregatifolius";0;"rara";"Accepted"
"654";"Lythraceae";"Diplusodon alatus";"Diplusodon alatus";0;"rara";"Accepted"
"655";"Lythraceae";"Diplusodon appendiculosus";"Diplusodon appendiculosus";0;"rara";"Accepted"
"656";"Lythraceae";"Diplusodon argenteus";"Diplusodon argenteus";0;"rara";"Accepted"
"657";"Lythraceae";"Diplusodon argyrophyllus";"Diplusodon argyrophyllus";0;"rara";"Accepted"
"658";"Lythraceae";"Diplusodon bradei";"Diplusodon bradei";0;"rara";"Accepted"
"659";"Lythraceae";"Diplusodon canastrensis";"Diplusodon canastrensis";0;"rara";"Accepted"
"660";"Lythraceae";"Diplusodon capitalensis";"Diplusodon capitalensis";0;"rara";"Accepted"
"661";"Lythraceae";"Diplusodon capitatus";"Diplusodon capitatus";0;"rara";"Accepted"
"662";"Lythraceae";"Diplusodon chapadensis";"Diplusodon chapadensis";0;"rara";"Accepted"
"663";"Lythraceae";"Diplusodon decussatus";"Diplusodon decussatus";0;"rara";"Accepted"
"664";"Lythraceae";"Diplusodon ericoides";"Diplusodon ericoides";0;"rara";"Accepted"
"665";"Lythraceae";"Diplusodon floribundus";"Diplusodon floribundus";0;"rara";"Accepted"
"666";"Lythraceae";"Diplusodon glaziovii";"Diplusodon glaziovii";0;"rara";"Accepted"
"667";"Lythraceae";"Diplusodon glocimarii";"Diplusodon glocimarii";0;"rara";"Accepted"
"668";"Lythraceae";"Diplusodon gracilis";"Diplusodon gracilis";0;"rara";"Accepted"
"669";"Lythraceae";"Diplusodon grahamae";"Diplusodon grahamae";0;"rara";"Accepted"
"670";"Lythraceae";"Diplusodon hatschbachii";"Diplusodon hatschbachii";0;"rara";"Accepted"
"671";"Lythraceae";"Diplusodon heringeri";"Diplusodon heringeri";0;"rara";"Accepted"
"672";"Lythraceae";"Diplusodon kielmeyeroides";"Diplusodon kielmeyeroides";0;"rara";"Accepted"
"673";"Lythraceae";"Diplusodon leucocalycinus";"Diplusodon leucocalycinus";0;"rara";"Accepted"
"674";"Lythraceae";"Diplusodon longipes";"Diplusodon longipes";0;"rara";"Accepted"
"675";"Lythraceae";"Diplusodon mattogrossensis";"Diplusodon mattogrossensis";0;"rara";"Accepted"
"676";"Lythraceae";"Diplusodon minasensis";"Diplusodon minasensis";0;"rara";"Accepted"
"677";"Lythraceae";"Diplusodon mononeuros";"Diplusodon mononeuros";0;"rara";"Accepted"
"678";"Lythraceae";"Diplusodon nigricans";"Diplusodon nigricans";0;"rara";"Accepted"
"679";"Lythraceae";"Diplusodon orbicularis";"Diplusodon orbicularis";0;"rara";"Accepted"
"680";"Lythraceae";"Diplusodon panniculatus";"Diplusodon panniculatus";0;"rara";"Accepted"
"681";"Lythraceae";"Diplusodon parvifolius";"Diplusodon parvifolius";0;"rara";"Accepted"
"682";"Lythraceae";"Diplusodon petiolatus";"Diplusodon petiolatus";0;"rara";"Accepted"
"683";"Lythraceae";"Diplusodon plumbeus";"Diplusodon plumbeus";0;"rara";"Accepted"
"684";"Lythraceae";"Diplusodon pygmaeus";"Diplusodon pygmaeus";0;"rara";"Accepted"
"685";"Lythraceae";"Diplusodon retroimbricatus";"Diplusodon retroimbricatus";0;"rara";"Accepted"
"686";"Lythraceae";"Diplusodon rosmarinifolius";"Diplusodon rosmarinifolius";0;"rara";"Accepted"
"687";"Lythraceae";"Diplusodon rotundifolius";"Diplusodon rotundifolius";0;"rara";"Accepted"
"688";"Lythraceae";"Diplusodon saxatilis";"Diplusodon saxatilis";0;"rara";"Accepted"
"689";"Lythraceae";"Diplusodon sigillatus";"Diplusodon sigillatus";0;"rara";"Accepted"
"690";"Lythraceae";"Diplusodon sordidus";"Diplusodon sordidus";0;"rara";"Accepted"
"691";"Lythraceae";"Diplusodon thysanosepalus";"Diplusodon thysanosepalus";0;"rara";"Accepted"
"692";"Lythraceae";"Diplusodon trigintus";"Diplusodon trigintus";0;"rara";"Accepted"
"693";"Lythraceae";"Diplusodon vidalii";"Diplusodon vidalii";0;"rara";"Accepted"
"694";"Cactaceae";"Discocactus horstii";"Discocactus horstii";0;"rara";"Accepted"
"695";"Cactaceae";"Discocactus pseudoinsignis";"Discocactus pseudoinsignis";0;"rara";"Accepted"
"696";"Apocynaceae";"Ditassa auriflora";"Ditassa auriflora";0;"rara";"Accepted"
"697";"Apocynaceae";"Ditassa cipoensis";"Ditassa cipoensis";0;"rara";"Accepted"
"698";"Apocynaceae";"Ditassa dolichoglossa";"Ditassa dolichoglossa";0;"rara";"Accepted"
"699";"Apocynaceae";"Ditassa duartei";"Ditassa duartei";0;"rara";"Accepted"
"700";"Apocynaceae";"Ditassa emmerichii";"Ditassa emmerichae";2;"rara";"Accepted"
"701";"Apocynaceae";"Ditassa insignis";"Ditassa insignis";0;"rara";"Accepted"
"702";"Apocynaceae";"Ditassa itambensis";"Ditassa itambensis";0;"rara";"Accepted"
"703";"Apocynaceae";"Ditassa longisepala";"Ditassa longisepala";0;"rara";"Accepted"
"704";"Apocynaceae";"Ditassa maricaensis";"Ditassa maricaensis";0;"rara";"Accepted"
"705";"Apocynaceae";"Ditassa oberdanii";"Ditassa oberdanii";0;"rara";"Accepted"
"706";"Apocynaceae";"Ditassa obscura";"Ditassa obscura";0;"rara";"Accepted"
"707";"Apocynaceae";"Ditassa subumbellata";"Ditassa subumbellata";0;"rara";"Accepted"
"708";"Dilleniaceae";"Doliocarpus prancei";"Doliocarpus prancei";0;"rara";"Accepted"
"709";"Moraceae";"Dorstenia alberti";"Dorstenia albertii";1;"rara";"Accepted"
"710";"Moraceae";"Dorstenia conceptionis";"Dorstenia conceptionis";0;"rara";"Accepted"
"711";"Moraceae";"Dorstenia contensis";"Dorstenia contensis";0;"rara";"Accepted"
"712";"Moraceae";"Dorstenia dolichocaula";"Dorstenia dolichocaula";0;"rara";"Accepted"
"713";"Moraceae";"Dorstenia hirta";"Dorstenia erecta";0;"rara";"Synonym"
"714";"Moraceae";"Dorstenia ramosa";"Dorstenia ficus";0;"rara";"Synonym"
"715";"Moraceae";"Dorstenia fischeri";"Dorstenia fisheri";1;"rara";"Accepted"
"716";"Moraceae";"Dorstenia gracilis";"Dorstenia gracilis";0;"rara";"Accepted"
"717";"Moraceae";"Dorstenia hildegardis";"Dorstenia hildegardis";0;"rara";"Accepted"
"718";"Moraceae";"Dorstenia strangii";"Dorstenia strangii";0;"rara";"Accepted"
"719";"Moraceae";"Dorstenia sucrei";"Dorstenia sucrei";0;"rara";"Accepted"
"720";"Moraceae";"Dorstenia urceolata";"Dorstenia urceolata";0;"rara";"Accepted"
"721";"Droseraceae";"Drosera graomogolensis";"Drosera graomogolensis";0;"rara";"Accepted"
"722";"Orchidaceae";"Dryadella crenulata";"Dryadella crenulata";0;"rara";"Accepted"
"723";"Orchidaceae";"Dryadella espirito-santensis";"Dryadella espirito-santensis";0;"rara";"Accepted"
"724";"Orchidaceae";"Dryadella gomes-ferreirae";"Dryadella gomes-ferreirae";0;"rara";"Accepted"
"725";"Orchidaceae";"Dryadella susanae";"Dryadella susanae";0;"rara";"Accepted"
"726";"Annonaceae";"Duguetia dicholepidota";"Duguetia dicholepidota";0;"rara";"Accepted"
"727";"Annonaceae";"Duguetia restingae";"Duguetia restingae";0;"rara";"Accepted"
"728";"Annonaceae";"Duguetia rotundifolia";"Duguetia rotundifolia";0;"rara";"Accepted"
"729";"Bromeliaceae";"Dyckia agudensis";"Dyckia agudensis";0;"rara";"Accepted"
"730";"Bromeliaceae";"Dyckia argentea";"Dyckia argentea";0;"rara";"Accepted"
"731";"Bromeliaceae";"Dyckia brachyphylla";"Dyckia brachyphylla";0;"rara";"Accepted"
"732";"Bromeliaceae";"Dyckia bracteata";"Dyckia bracteata";0;"rara";"Accepted"
"733";"Bromeliaceae";"Dyckia delicata";"Dyckia delicata";0;"rara";"Accepted"
"734";"Bromeliaceae";"Dyckia densiflora";"Dyckia densiflora";0;"rara";"Accepted"
"735";"Bromeliaceae";"Dyckia ×julianae";"Dyckia julianae";0;"rara";"Synonym"
"736";"Bromeliaceae";"Dyckia pernambucana";"Dyckia limae";0;"rara";"Synonym"
"737";"Bromeliaceae";"Dyckia maracasensis";"Dyckia maracasensis";0;"rara";"Accepted"
"738";"Bromeliaceae";"Dyckia mellobarretoi";"Dyckia mello-barretoi";1;"rara";"Accepted"
"739";"Rubiaceae";"Hexasepalum mello-barretoi";"Dyckia mello-barretoi";3;"rara";"Synonym"
"740";"Bromeliaceae";"Dyckia pectinata";"Dyckia pectinata";0;"rara";"Accepted"
"741";"Acanthaceae";"Dyschoriste smithii";"Dyschoriste smithii";0;"rara";"Accepted"
"742";"Alismataceae";"Echinodorus glandulosus";"Echinodorus glandulosus";0;"rara";"Accepted"
"743";"Alismataceae";"Echinodorus lanceolatus";"Echinodorus lanceolatus";0;"rara";"Accepted"
"744";"Alismataceae";"Echinodorus glaucus";"Echinodorus teretoscapus";0;"rara";"Synonym"
"745";"Celastraceae";"Elachyptera coriacea";"Elachyptera coriacea";0;"rara";"Accepted"
"746";"Cyperaceae";"Eleocharis loefgreniana";"Eleocharis almensis";0;"rara";"Synonym"
"747";"Cyperaceae";"Eleocharis bahiensis";"Eleocharis bahiensis";0;"rara";"Accepted"
"748";"Cyperaceae";"Eleocharis morroi";"Eleocharis morroi";0;"rara";"Accepted"
"749";"Cyperaceae";"Eleocharis olivaceonux";"Eleocharis olivaceonux";0;"rara";"Accepted"
"750";"Ochnaceae";"Elvasia capixaba";"Elvasia capixaba";0;"rara";"Accepted"
"751";"Ochnaceae";"Elvasia gigantifolia";"Elvasia gigantifolia";0;"rara";"Accepted"
"752";"Ochnaceae";"Elvasia kollmannii";"Elvasia kollmannii";0;"rara";"Accepted"
"753";"Bromeliaceae";"Dyckia biflora";"Encholirium biflorum";0;"rara";"Synonym"
"754";"Bromeliaceae";"Dyckia erectiflora";"Encholirium erectiflorum";0;"rara";"Synonym"
"755";"Bromeliaceae";"Dyckia heloisae";"Encholirium heloisae";0;"rara";"Synonym"
"756";"Bromeliaceae";"Dyckia hennigiana";"Encholirium irwinii";0;"rara";"Synonym"
"757";"Bromeliaceae";"Dyckia pedicellata";"Encholirium pedicellatum";0;"rara";"Synonym"
"758";"Bromeliaceae";"Dyckia reflexa";"Encholirium reflexum";0;"rara";"Synonym"
"759";"Bromeliaceae";"Dyckia scrutor";"Encholirium scrutor";0;"rara";"Synonym"
"760";"Bromeliaceae";"Dyckia vogelii";"Encholirium vogelii";0;"rara";"Synonym"
"761";"Lauraceae";"Endlicheria coriacea";"Endlicheria coriacea";0;"rara";"Accepted"
"762";"Orchidaceae";"Epidendrum pernambucense";"Epidendrum pernambucense";0;"rara";"Accepted"
"763";"Asteraceae";"Lychnophorella leucodendron";"Eremanthus leucodendron";0;"rara";"Synonym"
"764";"Asteraceae";"Eremanthus elaeagnus";"Eremanthus seidelii";0;"rara";"Synonym"
"765";"Poaceae";"Eremocaulon asymmetricum";"Eremocaulon asymmetricum";0;"rara";"Accepted"
"766";"Poaceae";"Aulonemia setosa";"Eremocaulon setosum";0;"rara";"Synonym"
"767";"Eriocaulaceae";"Eriocaulon aquatile";"Eriocaulon aquatile";0;"rara";"Accepted"
"768";"Eriocaulaceae";"Eriocaulon burchellii";"Eriocaulon buchellii";1;"rara";"Accepted"
"769";"Eriocaulaceae";"Eriocaulon carajense";"Eriocaulon carajense";0;"rara";"Accepted"
"770";"Eriocaulaceae";"Eriocaulon griseum";"Eriocaulon griseum";0;"rara";"Accepted"
"771";"Eriocaulaceae";"Eriocaulon majusculum";"Eriocaulon majusculum";0;"rara";"Accepted"
"772";"Eriocaulaceae";"Eriocaulon papillosum";"Eriocaulon papillosum";0;"rara";"Accepted"
"773";"Eriocaulaceae";"Eriocaulon spongiosifolium";"Eriocaulon spongilifolium";2;"rara";"Accepted"
"774";"Eriocaulaceae";"Eriocaulon guyanense";"Eriocaulon stramineum";0;"rara";"Synonym"
"775";"Melastomataceae";"Eriocnema acaulis";"Eriocnema acaulis";0;"rara";"Accepted"
"776";"Lamiaceae";"Eriope anamariae";"Eriope anamariae";0;"rara";"Accepted"
"777";"Lamiaceae";"Eriope angustifolia";"Eriope angustifolia";0;"rara";"Accepted"
"778";"Lamiaceae";"Eriope confusa";"Eriope confusa";0;"rara";"Accepted"
"779";"Lamiaceae";"Eriope filifolia";"Eriope filifolia";0;"rara";"Accepted"
"780";"Lamiaceae";"Eriope luetzelburgii";"Eriope luetzelburgii";0;"rara";"Accepted"
"781";"Lamiaceae";"Hypenia machrisae";"Eriope machrisae";0;"rara";"Synonym"
"782";"Lamiaceae";"Eriope montana";"Eriope montana";0;"rara";"Accepted"
"783";"Lamiaceae";"Eriope sincorana";"Eriope sincorana";0;"rara";"Accepted"
"784";"Lamiaceae";"Eriope xavantium";"Eriope xavantium";0;"rara";"Accepted"
"785";"Vochysiaceae";"Erisma arietinum";"Erisma arietinum";0;"rara";"Accepted"
"786";"Vochysiaceae";"Erisma lanceolatum";"Erisma lanceolatum";0;"rara";"Accepted"
"787";"Vochysiaceae";"Erisma silvae";"Erisma silvae";0;"rara";"Accepted"
"788";"Erythroxylaceae";"Erythroxylum campinense";"Erythroxylum campinense";0;"rara";"Accepted"
"789";"Erythroxylaceae";"Erythroxylum catharinense";"Erythroxylum catharinense";0;"rara";"Accepted"
"790";"Erythroxylaceae";"Erythroxylum leal-costae";"Erythroxylum leal-costae";0;"rara";"Accepted"
"791";"Erythroxylaceae";"Erythroxylum nelson-rosae";"Erythroxylum nelson-rosae";0;"rara";"Accepted"
"792";"Erythroxylaceae";"Erythroxylum pauferrense";"Erythroxylum pauferrense";0;"rara";"Accepted"
"793";"Erythroxylaceae";"Erythroxylum santosii";"Erythroxylum santosii";0;"rara";"Accepted"
"794";"Erythroxylaceae";"Erythroxylum tianguanum";"Erythroxylum tianguanum";0;"rara";"Accepted"
"795";"Lecythidaceae";"Eschweilera compressa";"Eschweilera compressa";0;"rara";"Accepted"
"796";"Lecythidaceae";"Eschweilera mattos-silvae";"Eschweilera mattos-silvae";0;"rara";"Accepted"
"797";"Lecythidaceae";"Eschweilera rabeliana";"Eschweilera rabeliana";0;"rara";"Accepted"
"798";"Lecythidaceae";"Eschweilera subcordata";"Eschweilera subcordata";0;"rara";"Accepted"
"799";"Lecythidaceae";"Eschweilera tetrapetala";"Eschweilera tetrapetala";0;"rara";"Accepted"
"800";"Orobanchaceae";"Esterhazya caesarea";"Esterhazya caesarea";0;"rara";"Accepted"
"801";"Orobanchaceae";"Esterhazya eitenorum";"Esterhazya eitenorum";0;"rara";"Accepted"
"802";"Orobanchaceae";"Esterhazya nanuzae";"Esterhazya nanuzae";0;"rara";"Accepted"
"803";"Myrtaceae";"Eugenia blanda";"Eugenia blanda";0;"rara";"Accepted"
"804";"Myrtaceae";"Eugenia froesii";"Eugenia froesii";0;"rara";"Accepted"
"805";"Myrtaceae";"Eugenia grandifolia";"Eugenia grandifolia";0;"rara";"Accepted"
"806";"Myrtaceae";"Eugenia villaenovae";"Eugenia villanovae";1;"rara";"Accepted"
"807";"Convolvulaceae";"Evolvulus chapadensis";"Evolvulus chapadensis";0;"rara";"Accepted"
"808";"Convolvulaceae";"Evolvulus gnaphalioides";"Evolvulus gnaphalioides";0;"rara";"Accepted"
"809";"Malpighiaceae";"Excentradenia primaeva";"Excentradenia primaeva";0;"rara";"Accepted"
"810";"Chrysobalanaceae";"Exellodendron gracile";"Exollodendron gracile";1;"rara";"Accepted"
"811";"Cactaceae";"Facheiroa ulei";"Facheiroa ulei";0;"rara";"Accepted"
"812";"Bromeliaceae";"Fernseea bocainensis";"Fernseea bocainensis";0;"rara";"Accepted"
"813";"Cucurbitaceae";"Fevillea bahiensis";"Fevillea bahiensis";0;"rara";"Accepted"
"814";"Moraceae";"Ficus blepharophylla";"Ficus blepharophylla";0;"rara";"Accepted"
"815";"Moraceae";"Ficus carautana";"Ficus carautana";0;"rara";"Accepted"
"816";"Moraceae";"Ficus cyclophylla";"Ficus noronhae";0;"rara";"Synonym"
"817";"Moraceae";"Ficus roraimensis";"Ficus roraimensis";0;"rara";"Accepted"
"818";"Moraceae";"Ficus ursina";"Ficus ursina";0;"rara";"Accepted"
"819";"Cactaceae";"Arrojadoa pusilliflora";"Floribunda pusilliflora";0;"rara";"Synonym"
"820";"Cactaceae";"Frailea buenekeri";"Frailea buenekeri";0;"rara";"Accepted"
"821";"Cactaceae";"Frailea mammifera";"Frailea mammifera";0;"rara";"Accepted"
"822";"Bignoniaceae";"Fridericia crassa";"Fridericia crassa";0;"rara";"Accepted"
"823";"Bignoniaceae";"Fridericia elegans";"Fridericia elegans";0;"rara";"Accepted"
"824";"Bignoniaceae";"Tanaecium paradoxum";"Fridericia paradoxa";0;"rara";"Synonym"
"825";"Bignoniaceae";"Fridericia trachyphylla";"Fridericia trachyphylla";0;"rara";"Accepted"
"826";"Amaranthaceae";"Froelichiella grisea";"Froelichiella grisea";0;"rara";"Accepted"
"827";"Quiinaceae";"Froesia crassiflora";"Froesia crassiflora";0;"rara";"Accepted"
"828";"Cyperaceae";"Fuirena lainzii";"Fuirena lainzii";0;"rara";"Accepted"
"829";"Rubiaceae";"Galianthe elegans";"Galianthe elegans";0;"rara";"Accepted"
"830";"Rubiaceae";"Galianthe macedoi";"Galianthe macedoi";0;"rara";"Accepted"
"831";"Rubiaceae";"Galianthe matogrossiana";"Galianthe matogrossiana";0;"rara";"Accepted"
"832";"Rubiaceae";"Galianthe polygonoides";"Galianthe polygonoides";0;"rara";"Accepted"
"833";"Rubiaceae";"Galianthe reitzii";"Galianthe reitzii";0;"rara";"Accepted"
"834";"Rubiaceae";"Galianthe souzae";"Galianthe souzae";0;"rara";"Accepted"
"835";"Rubiaceae";"Galianthe vaginata";"Galianthe vaginata";0;"rara";"Accepted"
"836";"Rutaceae";"Galipea carinata";"Galipea carinata";0;"rara";"Accepted"
"837";"Lentibulariaceae";"Genlisea lobata";"Genlisea lobata";0;"rara";"Accepted"
"838";"Poaceae";"Glaziophyton mirabile";"Glaziophyton mirabile";0;"rara";"Accepted"
"839";"Molluginaceae";"Glischrothamnus ulei";"Glischrothamnus ulei";0;"rara";"Accepted"
"840";"Amaranthaceae";"Gomphrena centrota";"Gomphrena centrota";0;"rara";"Accepted"
"841";"Amaranthaceae";"Gomphrena chrestoides";"Gomphrena chrestoides";0;"rara";"Accepted"
"842";"Amaranthaceae";"Gomphrena hatschbachiana";"Gomphrena hatschbachiana";0;"rara";"Accepted"
"843";"Amaranthaceae";"Gomphrena hermogenesii";"Gomphrena hermogenesii";0;"rara";"Accepted"
