"";"Família";"Especie";"Nome na publicação original";"Diferença (em caracteres)";"Categoria";"Status Taxonômico"
"62";"Fabaceae";"Ctenodon graminoides";"Aeschynomene graminoides";0;"rara";"Synonym"
"63";"Fabaceae";"Ctenodon lewisianus";"Aeschynomene lewisiana";0;"rara";"Synonym"
"64";"Fabaceae";"Ctenodon sabulicolus";"Aeschynomene sabulicola";0;"rara";"Synonym"
"65";"Fabaceae";"Ctenodon simplicifolius";"Aeschynomene simplicifolia";0;"rara";"Synonym"
"66";"Fabaceae";"Ctenodon soniae";"Aeschynomene soniae";0;"rara";"Synonym"
"67";"Orobanchaceae";"Agalinis bandeirensis";"Agalinis bandeirensis";0;"rara";"Accepted"
"68";"Orobanchaceae";"Agalinis itambensis";"Agalinis itambensis";0;"rara";"Accepted"
"69";"Orobanchaceae";"Agalinis nana";"Agalinis nana";0;"rara";"Accepted"
"70";"Orobanchaceae";"Agalinis schwackeana";"Agalinis schwackeana";0;"rara";"Accepted"
"71";"Lauraceae";"Aiouea macedoana";"Aiouea macedoana";0;"rara";"Accepted"
"72";"Bromeliaceae";"Alcantarea burlemarxii";"Alcantarea burle-marxii";1;"rara";"Accepted"
"73";"Bromeliaceae";"Alcantarea duarteana";"Alcantarea duarteana";0;"rara";"Accepted"
"74";"Bromeliaceae";"Alcantarea farneyi";"Alcantarea farneyi";0;"rara";"Accepted"
"75";"Bromeliaceae";"Waltillia hatschbachii";"Alcantarea hatschbachii";0;"rara";"Synonym"
"76";"Lecythidaceae";"Allantoma integrifolia";"Allantoma integrifolia";0;"rara";"Accepted"
"77";"Lecythidaceae";"Allantoma kuhlmannii";"Allantoma kuhlmannii";0;"rara";"Accepted"
"78";"Lecythidaceae";"Allantoma pauciramosa";"Allantoma pauciramosa";0;"rara";"Accepted"
"79";"Lecythidaceae";"Allantoma uaupensis";"Allantoma uaupensis";0;"rara";"Accepted"
"80";"Rutaceae";"Conchocarpus ruber";"Almeidea limae";0;"rara";"Synonym"
"81";"Alstroemeriaceae";"Alstroemeria capixaba";"Alstroemeria capixaba";0;"rara";"Accepted"
"82";"Alstroemeriaceae";"Alstroemeria chapadensis";"Alstroemeria chapadensis";0;"rara";"Accepted"
"83";"Alstroemeriaceae";"Alstroemeria paraensis";"Alstroemeria paraensis";0;"rara";"Accepted"
"84";"Alstroemeriaceae";"Alstroemeria penduliflora";"Alstroemeria penduliflora";0;"rara";"Accepted"
"85";"Alstroemeriaceae";"Alstroemeria variegata";"Alstroemeria variegata";0;"rara";"Accepted"
"86";"Amaranthaceae";"Alternanthera kurtzii";"Alternanthera decurrens";0;"rara";"Synonym"
"87";"Amaranthaceae";"Alternanthera januarensis";"Alternanthera januarensis";0;"rara";"Accepted"
"88";"Poaceae";"Altoparadisium chapadense";"Altoparadisium chapadense";0;"rara";"Accepted"
"89";"Poaceae";"Alvimia auriculata";"Alvimia auriculata";0;"rara";"Accepted"
"90";"Poaceae";"Alvimia lancifolia";"Alvimia lancifolia";0;"rara";"Accepted"
"91";"Malpighiaceae";"Amorimia velutina";"Amorimia velutina";0;"rara";"Accepted"
"92";"Bignoniaceae";"Amphilophium perbracteatum";"Amphilophium perbracteatum";0;"rara";"Accepted"
"93";"Orchidaceae";"Anathallis githaginea";"Anathallis githaginea";0;"rara";"Accepted"
"94";"Orchidaceae";"Anathallis guarujaensis";"Anathallis guarujaensis";0;"rara";"Accepted"
"95";"Orchidaceae";"Anathallis jordanensis";"Anathallis jordanensis";0;"rara";"Accepted"
"96";"Orchidaceae";"Anathallis kautskyi";"Anathallis kautskyi";0;"rara";"Accepted"
"97";"Orchidaceae";"Anathallis paranapiacabensis";"Anathallis paranapiacabensis";0;"rara";"Accepted"
"98";"Orchidaceae";"Anathallis pubipetala";"Anathallis pubipetala";0;"rara";"Accepted"
"99";"Orchidaceae";"Anathallis spannageliana";"Anathallis spannageliana";0;"rara";"Accepted"
